,min_dist_self,min_dist_other,quartile_cat_self,quartile_cat_other,contrasted_with
ENSG00000244627,0.8926625,15.798606,small,large,HFFC6
ENSG00000092929,0.95546156,6.293841,small,mid,HFFC6
ENSG00000108576,0.15306412,16.548908,small,large,HFFC6
ENSG00000105438,0.35607192,3.6813965,small,mid,HFFC6
ENSG00000103042,0.35764393,3.7805107,small,mid,HFFC6
ENSG00000244119,0.44302046,7.1737695,small,mid,HFFC6
ENSG00000099953,0.3110691,3.7096102,small,mid,HFFC6
ENSG00000125910,0.40467155,4.204871,small,mid,HFFC6
ENSG00000164713,0.8934009,9.758771,small,large,HFFC6
ENSG00000185015,0.68575835,57.03543,small,large,HFFC6
ENSG00000136240,0.38970825,8.325883,small,mid,HFFC6
ENSG00000254325,0.38642812,6.113469,small,mid,HFFC6
ENSG00000100300,0.4757844,5.0462914,small,mid,HFFC6
ENSG00000103888,0.6797482,1.9978378,small,mid,HFFC6
ENSG00000144455,0.28179622,5.713464,small,mid,HFFC6
ENSG00000126561,0.7260743,5.900602,small,mid,HFFC6
ENSG00000100243,0.26296613,5.584462,small,mid,HFFC6
ENSG00000183723,0.4312534,7.055015,small,large,HFFC6
ENSG00000235499,0.51982105,8.657127,small,large,HFFC6
ENSG00000130592,0.31758285,5.961277,small,large,HFFC6
ENSG00000234911,0.35599804,6.5869317,small,large,HFFC6
ENSG00000274290,0.33623195,3.9262152,small,mid,HFFC6
ENSG00000247708,0.32529908,7.3405676,small,mid,HFFC6
ENSG00000187605,0.51982105,8.657127,small,large,HFFC6
ENSG00000168807,0.3067781,4.035937,small,mid,HFFC6
ENSG00000260671,0.4323145,8.394676,small,large,HFFC6
ENSG00000183785,0.048696198,9.699406,small,large,HFFC6
ENSG00000238961,0.9540735,6.007345,small,mid,HFFC6
ENSG00000284634,0.3467177,21.286264,small,large,HFFC6
ENSG00000271643,0.394408,31.360462,small,large,HFFC6
ENSG00000141384,0.27698335,7.0320954,small,mid,HFFC6
ENSG00000125457,0.73868906,5.0485816,small,mid,HFFC6
ENSG00000225519,0.713561,6.0217133,small,large,HFFC6
ENSG00000135046,0.43374357,6.115367,small,mid,HFFC6
ENSG00000068697,0.7449734,4.1754622,small,mid,HFFC6
ENSG00000245680,0.18302876,12.915323,small,large,HFFC6
ENSG00000149115,0.36880672,2.1534142,small,mid,HFFC6
ENSG00000156642,0.43414333,1.8436556,small,mid,HFFC6
ENSG00000008277,0.9443009,22.694572,small,large,HFFC6
ENSG00000251301,0.21728803,2.2920291,small,mid,HFFC6
ENSG00000111266,0.3134122,2.826869,small,mid,HFFC6
ENSG00000175130,0.3022992,3.5747201,small,mid,HFFC6
ENSG00000265817,0.39955917,4.753534,small,mid,HFFC6
ENSG00000184602,0.7863127,4.5925546,small,mid,HFFC6
ENSG00000137414,0.23334797,3.5888479,small,mid,HFFC6
ENSG00000151327,0.42203182,3.4923754,small,mid,HFFC6
ENSG00000162433,0.59544504,11.200667,small,large,HFFC6
ENSG00000170915,0.5774988,8.545966,small,large,HFFC6
ENSG00000072415,0.29308808,6.710872,small,large,HFFC6
ENSG00000198805,0.28449395,10.446481,small,large,HFFC6
ENSG00000140451,0.7863882,6.203824,small,large,HFFC6
ENSG00000166387,0.5466045,2.446989,small,mid,HFFC6
ENSG00000125505,0.48447567,6.1027727,small,large,HFFC6
ENSG00000089558,0.68949354,5.261341,small,mid,HFFC6
ENSG00000113273,0.7011254,3.3355465,small,mid,HFFC6
ENSG00000183049,0.30727074,15.97441,small,large,HFFC6
ENSG00000122884,0.3268213,3.1755533,small,mid,HFFC6
ENSG00000085063,0.6841278,2.8719425,small,mid,HFFC6
ENSG00000261251,0.53936476,10.274282,small,large,HFFC6
ENSG00000205045,0.6421362,3.792337,small,mid,HFFC6
ENSG00000225889,0.85420626,6.1683745,small,mid,HFFC6
ENSG00000161714,0.89793223,3.3281717,small,mid,HFFC6
ENSG00000205269,0.4250479,11.163669,small,large,HFFC6
ENSG00000056736,0.8107313,8.807383,small,large,HFFC6
ENSG00000196730,0.4006797,18.928417,small,large,HFFC6
ENSG00000138758,0.37684384,7.6487594,small,mid,HFFC6
ENSG00000253214,0.5681415,14.498177,small,large,HFFC6
ENSG00000150995,0.25930363,10.732571,small,large,HFFC6
ENSG00000146192,0.627339,7.1701665,small,mid,HFFC6
ENSG00000214212,0.76856786,7.266103,small,large,HFFC6
ENSG00000133740,0.42767417,58.040874,small,large,HFFC6
ENSG00000151491,0.4648324,7.422026,small,large,HFFC6
ENSG00000254995,0.36760437,3.5165884,small,mid,HFFC6
ENSG00000211584,0.7915231,2.2168016,small,mid,HFFC6
ENSG00000136213,0.64543647,3.6555495,small,mid,HFFC6
ENSG00000136235,0.30403215,4.5859504,small,mid,HFFC6
ENSG00000284428,0.023080014,11.102264,small,large,HFFC6
ENSG00000269609,0.5034482,7.51972,small,large,HFFC6
ENSG00000182551,0.24819939,5.759989,small,mid,HFFC6
ENSG00000140379,0.49588868,6.434088,small,large,HFFC6
ENSG00000271503,0.28664783,9.276624,small,large,HFFC6
ENSG00000205786,0.42736068,12.1328335,small,large,HFFC6
ENSG00000135404,0.79322135,3.9800913,small,mid,HFFC6
ENSG00000156869,0.6098718,7.412255,small,large,HFFC6
ENSG00000229474,0.7652451,2.3832555,small,mid,HFFC6
ENSG00000118596,0.39281332,9.679348,small,large,HFFC6
ENSG00000167535,0.25077048,5.457001,small,mid,HFFC6
ENSG00000156398,0.25464097,2.6449523,small,mid,HFFC6
ENSG00000119900,0.8825649,8.707744,small,large,HFFC6
ENSG00000180398,0.51443595,2.9495895,small,mid,HFFC6
ENSG00000163666,0.25352228,12.227835,small,large,HFFC6
ENSG00000185697,0.33407882,11.091962,small,large,HFFC6
ENSG00000273045,0.35959935,17.832308,small,large,HFFC6
ENSG00000197056,0.17827477,2.8580112,small,mid,HFFC6
ENSG00000127561,0.43512917,2.988925,small,mid,HFFC6
ENSG00000088538,0.60015774,5.3242893,small,mid,HFFC6
ENSG00000235978,0.4063969,11.348458,small,large,HFFC6
ENSG00000186854,0.43656886,5.6236944,small,mid,HFFC6
ENSG00000232104,0.68541217,12.888015,small,large,HFFC6
ENSG00000062822,0.40221435,6.0030394,small,large,HFFC6
ENSG00000211455,0.94781345,9.972031,small,large,HFFC6
ENSG00000115756,0.27928114,4.2522054,small,mid,HFFC6
ENSG00000262663,0.32600582,4.4191194,small,mid,HFFC6
ENSG00000198561,0.6714638,6.576358,small,large,HFFC6
ENSG00000132589,0.7664797,2.60679,small,mid,HFFC6
ENSG00000104497,0.3696969,50.882336,small,large,HFFC6
ENSG00000272578,0.25592682,12.526071,small,large,HFFC6
ENSG00000229955,0.9081623,17.257479,small,large,HFFC6
ENSG00000225528,0.293386,8.546197,small,large,HFFC6
ENSG00000261008,0.30844206,24.625294,small,large,HFFC6
ENSG00000158286,0.5178087,2.0542793,small,mid,HFFC6
ENSG00000070081,0.28668386,2.8114948,small,mid,HFFC6
ENSG00000163376,0.3501391,8.033025,small,large,HFFC6
ENSG00000134294,0.19239616,2.2067037,small,mid,HFFC6
ENSG00000108187,0.7811361,7.722287,small,large,HFFC6
ENSG00000189283,0.20270118,5.031843,small,mid,HFFC6
ENSG00000213613,0.66193056,2.6585007,small,mid,HFFC6
ENSG00000104361,0.21488066,9.436847,small,large,HFFC6
ENSG00000206503,0.28977275,6.448285,small,mid,HFFC6
ENSG00000178445,0.41702342,7.3231225,small,large,HFFC6
ENSG00000174718,0.3648392,14.93536,small,large,HFFC6
ENSG00000115129,0.2729372,5.8951197,small,mid,HFFC6
ENSG00000128274,0.5121544,5.584462,small,mid,HFFC6
ENSG00000106688,0.22983478,4.063638,small,mid,HFFC6
ENSG00000236924,0.41702342,7.3231225,small,large,HFFC6
ENSG00000152926,0.25658435,61.46633,small,large,HFFC6
ENSG00000100417,0.21547857,2.9990206,small,mid,HFFC6
ENSG00000255949,0.5842843,8.952173,small,large,HFFC6
ENSG00000095015,0.550415,3.3573477,small,mid,HFFC6
ENSG00000128815,0.51904255,4.0322304,small,mid,HFFC6
ENSG00000175265,0.21424094,14.503537,small,large,HFFC6
ENSG00000139146,0.7201964,14.118911,small,large,HFFC6
ENSG00000102908,0.7161298,6.888509,small,large,HFFC6
ENSG00000164985,0.4635014,12.102715,small,large,HFFC6
ENSG00000128203,0.48084816,10.963427,small,large,HFFC6
ENSG00000282989,0.17492348,18.699165,small,large,HFFC6
ENSG00000116209,0.51312935,2.1828032,small,mid,HFFC6
ENSG00000110944,0.53603286,6.4597435,small,large,HFFC6
ENSG00000280007,0.43537158,7.3499184,small,large,HFFC6
ENSG00000152465,0.5320418,8.4532795,small,large,HFFC6
ENSG00000128340,0.7978929,5.3599305,small,mid,HFFC6
ENSG00000263235,0.61144745,8.931565,small,large,HFFC6
ENSG00000164199,0.5356591,12.421248,small,large,HFFC6
ENSG00000272677,0.41218266,5.6967883,small,mid,HFFC6
ENSG00000188559,0.58419,23.879194,small,large,HFFC6
ENSG00000100580,0.6229402,9.520954,small,large,HFFC6
ENSG00000172638,0.7027243,3.311626,small,mid,HFFC6
ENSG00000278231,0.72455096,12.432202,small,large,HFFC6
ENSG00000169435,0.7442263,7.572322,small,mid,HFFC6
ENSG00000205268,0.7774047,23.519909,small,large,HFFC6
ENSG00000175322,0.21708965,37.452866,small,large,HFFC6
ENSG00000259687,0.9853597,5.21586,small,mid,HFFC6
ENSG00000110315,0.28053302,2.6690197,small,mid,HFFC6
ENSG00000232907,0.5882272,7.4749794,small,large,HFFC6
ENSG00000213390,0.4833826,5.8952885,small,large,HFFC6
ENSG00000254206,0.37523192,12.561119,small,large,HFFC6
ENSG00000156509,0.6212558,4.0923743,small,mid,HFFC6
ENSG00000176105,0.39322707,5.629152,small,mid,HFFC6
ENSG00000179361,0.32452598,10.084,small,large,HFFC6
ENSG00000130402,0.3318514,2.6068835,small,mid,HFFC6
ENSG00000148671,0.40321591,2.345737,small,mid,HFFC6
ENSG00000252690,0.73770106,16.928204,small,large,HFFC6
ENSG00000233554,0.7994017,2.3537319,small,mid,HFFC6
